"date","sheet_name","total_up","total_down","total_net_up","total_salmon_hour","avg_duration","created_at","updated_at","updated_by"
2023-09-07,"HF",87643,56,87587,471873,15.1063829787234,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-07,"LF",2109,78,2031,6093,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-07,"LR",96,6,90,540,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-08,"HF",57674,82,57592,263046,16.4583333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-08,"LF",3029,147,2882,8646,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-08,"LR",130,7,123,738,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-09,"HF",52565,77,52488,191376,18.7234042553191,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-09,"LF",2423,131,2292,6876,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-09,"LR",82,24,58,348,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-10,"HF",60633,69,60564,203031,19.1666666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-10,"LF",2438,155,2283,6849,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
